,Date,AZ,SC,LA,MN,NJ,OR,VA,RI,KY,WY,NH,MI,NV,WI,ID,CA,CT,NE,MT,NC,VT,MD,DE,MO,IL,ME,WA,ND,MS,AL,IN,OH,TN,NM,IA,PA,SD,NY,TX,WV,GA,MA,KS,FL,CO,AK,AR,OK,UT,HI,Unemployment Rate,Consumer Price Index for All Urban Consumers,Effective Federal Funds Rate,Gross Domestic Product,S&P500 Close
26,08-2021,1622.9267518541214,1371.9934826332517,1203.1339470548844,1239.3274106599174,1751.503719458814,1632.4596704904884,1408.2820638383716,1646.9911602842965,1006.794422766073,998.0837520396484,1562.312389981574,1092.5821938073716,1687.14254046333,1007.8364773399528,1365.0182659694324,2190.3048340986543,1675.3060557116653,1122.6424660026476,1353.7115858215943,1343.2732691005742,1657.721396344676,1463.5945796807162,1579.5232997023566,999.794976574413,992.0405322434196,1428.9223499114687,1665.4848900755137,936.1196029686624,1188.1672797703036,1194.846196533991,990.4390256148014,1016.3202066655884,1289.8865676010605,1360.7995106834994,965.1718871451064,1181.5037705507225,1025.566843752394,1434.2752804012223,1243.0406213226154,1006.3738985723706,1307.2493242838264,1796.7730673042156,897.6520009706231,1737.0829315790577,1743.7759504606356,1375.1696980717586,1079.7755187013918,1059.9892020522775,1780.1847387888015,2506.883751342808,5.1,272.789,0.09,23828.973,"4,522.68"
27,09-2021,1659.1900469873246,1393.5487633296352,1216.5926686969997,1238.8998415305236,1779.1423714173056,1652.9830951509955,1418.430948979816,1666.9301845410614,1017.244395076284,1004.3278865863432,1575.5367378450878,1109.722248935823,1705.3441541556788,1016.8490846525956,1374.7585411459186,2220.3607946577195,1688.217765198547,1127.7251873917594,1357.4512732699689,1364.4604730132369,1659.1160106526922,1472.2698253309406,1592.3909617585448,1003.6857005492724,998.0178005429048,1442.1011948891992,1681.3880519845789,942.3445394014892,1194.9522043705842,1208.192697285779,994.5804211153272,1023.7989563177522,1287.3467687218726,1379.8526652225155,967.0167335762158,1188.8244137346933,1037.1839852682438,1450.44730247263,1254.255308242284,1000.0152931387456,1332.216124488343,1810.2755276724668,899.2212440359996,1779.6318802447852,1758.412356929589,1428.8995166825075,1092.534752000959,1062.4155956988657,1799.7712736448138,2496.832918235854,4.7,273.887,0.08,23828.973,"4,307.54"
28,10-2021,1687.3928853369464,1412.702645060613,1210.2085030212245,1207.5443129519956,1791.41126238191,1653.8489154643626,1418.962615614821,1668.2677001067543,1020.4407110543876,1001.3671832658314,1594.456885018914,1108.6193426301695,1712.4519532798563,1023.5633560311004,1375.844807809517,2230.657485903386,1683.040667621277,1128.8884807373224,1356.831602250293,1395.10262744418,1671.2816754736991,1485.9824575503646,1597.8996047445512,1007.8085888993772,1004.3674726203582,1438.029573433742,1690.0337973493806,951.335563648802,1202.476297629055,1223.1286004761432,1000.6417560410204,1028.5191639722746,1306.8571517272028,1382.646886275729,971.4086149309984,1195.455524604951,1050.667389777349,1466.1968397149762,1262.180231886655,1011.61669082066,1345.0798606397138,1806.7680201129929,903.4159253406552,1810.5825944721744,1758.410578314628,1431.9319032505268,1095.6030278632122,1064.5616830994195,1829.8235704019464,2507.2586650345606,4.5,276.434,0.08,24654.603,"4,605.38"
29,11-2021,1713.9529740926362,1421.6607893122614,1216.4794301823692,1205.5786627445943,1803.613382678568,1657.231380386591,1429.9585446145993,1674.6307993795924,1024.0554067937803,979.0868253164108,1590.3410158562178,1105.8058397028071,1723.5476994683677,1027.400031982297,1376.883170114476,2242.554194649988,1691.1616887983132,1130.735229047419,1358.034243770444,1402.692784660186,1646.5359612595842,1486.581475066973,1592.7795401002784,1014.192055857402,1007.8990547524372,1434.9737361736588,1694.4575841364997,957.082652141276,1214.5579574990106,1224.704402549616,1010.7772293022998,1031.5638044556154,1283.5056834117588,1381.3630767437533,973.0793235987122,1202.9939910557769,1063.633960950874,1468.9626052260064,1255.6191663791035,1019.2034568785848,1331.3678846635178,1817.6751540462972,904.6730556196386,1843.190773053916,1750.979137616252,1430.6791891462858,1095.3511820577962,1069.8569199267895,1856.9044221624893,2571.7605442998806,4.1,278.799,0.08,24654.603,"4,567.00"
30,12-2021,1631.4513876554065,1429.5916943422085,1251.3993561809857,1215.6247353894105,1827.637107089908,1651.157740423438,1443.2891909568964,1679.3834119085625,1029.54045741887,989.214279260942,1598.8619816131747,1109.15872180673,1715.5173145829258,1044.144440716495,1376.2168954685312,2216.619221779842,1696.9200253101258,1036.9342650575602,1361.4242642564425,1409.5165127444573,1660.6782944167442,1498.474157767516,1596.1423656525103,1017.0626328292044,1014.0869298021177,1443.3523304157864,1662.57745687982,958.8526781604202,1225.019441683498,1232.5836623040466,1015.7223414851204,1036.280433451927,1252.662387313428,1392.8915354225062,979.5984514229004,1210.2416876253435,1077.66496508885,1478.0835881842718,1278.6556151465495,1026.486685616729,1330.015232246204,1827.0302911599383,915.0082076968932,1868.7350657141965,1782.124523749101,1417.82315844069,1098.844399248437,1078.85703428165,1887.4471064193708,2617.885331266496,3.9,280.808,0.08,24654.603,"4,766.18"
31,01-2022,1647.7850767481102,1437.7396240766652,1221.488053933423,1228.13580490953,1857.453639007072,1657.3873409355235,1458.3649267662208,1698.8304030337165,1049.4263785358896,992.857248060966,1547.2069552330483,1119.456518057785,1719.6667563794952,1028.6811949863254,1293.0382252775007,2254.548997138278,1707.9085638473025,1042.4473068688446,1482.1858447938023,1415.987589903805,1670.678017501752,1497.6781504054263,1590.5268501828714,1024.7705995659296,1021.537068761672,1458.074353865464,1647.380230969464,959.3034991821386,1198.8424892459918,1233.5588930255738,1022.694034915171,1056.939592864952,1253.0331780797155,1297.095255790117,985.8817404972248,1191.1579533941765,1095.4848759253791,1512.6416541427857,1260.5883946171784,1039.433800711039,1338.9189422396546,1992.355119193336,919.7369692299936,1881.845407146552,1808.875271255813,1429.0287042099908,1075.1937114028146,1092.4722129401466,1914.8392929717008,2630.7219412583418,4.0,282.39,0.08,25029.116,"4,515.55"
32,02-2022,1654.998617039886,1449.784408170295,1225.3082454938406,1245.175002297969,1894.5148849444597,1663.94101811042,1469.2927405469168,1718.66838003557,1063.1921113855267,1004.0700333696238,1580.2894788753822,1127.911142388475,1717.2774195614247,997.846444423598,1308.065478586536,2267.043663022107,1719.3310723133902,1043.6578629816752,1511.2238066155378,1414.5230396210425,1692.54676855401,1506.641601188151,1604.9550211285334,1033.7991937160834,1029.086987847587,1458.987916297029,1590.1083611171816,955.9332887366526,1203.6910432365514,1241.403948973982,1027.6438583674085,1058.5484855152788,1275.2198781380296,1311.0722282295233,992.3495687197366,1194.8147801260147,1109.4647251333026,1528.0147235858165,1270.4757436226937,1045.7600083642938,1351.5780979513177,1848.66808070203,931.4494901241164,1892.907158151004,1837.483510011037,1445.243115012821,1076.4086998532246,1110.2151427044926,1821.1207985287197,2663.632558894149,3.8,284.535,0.08,25029.116,"4,373.94"
33,03-2022,1675.0384324161653,1470.3754123181689,1227.9625971095186,1255.1445692554803,1912.809841494135,1682.5009175049029,1478.6900850243533,1739.8684762124012,1070.4560551234072,1013.690062468674,1604.9170596359306,1140.1273577810186,1734.348276539831,998.5152252240932,1322.2798523574456,2286.1874356473,1738.4628658546687,1053.073717098776,1532.832046175651,1431.705687605018,1701.7878691816306,1508.7802961072168,1605.9554945423176,1048.0477420986758,1042.1213776178552,1474.8202385020193,1617.6561254858525,949.5517258478388,1208.543830657506,1219.5385552566229,1036.7505132756626,1071.818469989633,1286.5320402752163,1450.609074660639,996.2652870533132,1206.532553679843,1126.5606647109405,1554.972763479009,1266.014956639224,1047.804924443377,1363.5862974059194,1885.1751724337112,933.4656038433538,1908.721727268895,1840.322304002072,1457.5801545860754,1081.0488957630228,1127.9802400186447,1782.208706356863,2694.11842246126,3.6,287.553,0.2,25029.116,"4,530.41"
34,04-2022,1631.4253234946243,1488.964481361919,1176.50667413043,1265.63059918398,1948.924280201272,1699.7148038128803,1495.8400218547172,1767.580324609061,1086.4293597035946,1021.4270212728164,1648.7689131453894,1197.589175004166,1746.9848447701406,1007.0632418030318,1351.578547114102,2273.1024543312565,1769.9044647284936,1065.483872081336,1563.570284240826,1458.4383877174998,1709.6010209632254,1523.0815043358923,1631.2945809581695,1061.1539023652736,1053.4364976892616,1493.123097885829,1637.1793611099702,955.1872721940416,1215.4151995811396,1232.6565954253488,1048.7130068837007,1086.964804083823,1308.389201597544,1344.7480939256966,999.1087666748268,1220.0360674572512,1141.0350692069878,1579.8905926253212,1281.6655317316324,1048.9408335616895,1382.518224604507,1922.2512643817488,942.685831647969,1931.812554307193,1878.128222375724,1479.5378744350892,1092.9742382715658,1142.8784353310086,1795.862238493171,2742.815517414354,3.7,288.764,0.33,25544.273,"4,131.93"
35,05-2022,1644.8525014769646,1512.3142662242326,1184.2932209594214,1279.0624398290506,1958.5398620791311,1719.000974199731,1514.116977446463,1804.767232216738,1096.423721057123,1026.7993163248675,1660.897617419901,1239.67630243092,1767.0818868657868,1019.7709176922574,1382.5569510711623,2258.968646780951,1795.4788169114756,1077.2448223196068,1582.7267374466674,1480.1973139011848,1757.209950981571,1533.655360898003,1656.975318794347,1038.269878316524,1065.8420774578924,1536.177956851666,1657.1518928968685,972.4055322419968,1226.5235422679832,1248.6719791732096,1060.6138986510489,1071.9545347975773,1327.2357254750805,1313.1240996308798,1005.2931715280208,1238.1477628662365,1159.4422961886423,1595.174493565263,1291.9013394821918,1064.0656705648337,1400.8314316649414,1938.9881893475565,948.4324945089418,1955.4741391956,1909.8593411421944,1499.1083950241782,1102.117771453425,1126.1429293268625,1820.6613999843648,2730.7235652493505,3.6,291.359,0.77,25544.273,"4,132.15"
36,06-2022,1649.7674715801857,1532.4737445264673,1195.7771771154194,1282.9466534366964,1996.0419083634924,1743.9668317660432,1529.6465934459547,1834.688558514542,1110.8927916465143,1036.4247549391705,1672.3119635545877,1233.5742954825764,1777.5601680541452,1029.928409099818,1484.976305745646,2278.4832981379936,1820.244919805158,1091.653821839052,1732.426033318257,1500.3541365052072,1789.1886675446203,1548.1903789225753,1690.1146908420071,1092.5864816414808,1074.4542864324833,1555.655555205457,1653.7838457149,986.551072099634,1244.8253875709652,1259.7077485939722,1078.9752232958722,1061.10436234918,1349.6330846799722,1323.0326946209916,1012.1630611474708,1249.0183262965284,1186.2577032341312,1605.772953725088,1309.1916433950114,1078.5242527302662,1403.8964456766105,1952.4338497692968,955.8435078294764,1983.393743228279,1927.6114425907012,1519.029248509161,1115.1467122864271,1141.4500937640682,1831.01941284014,2742.1506798213136,3.6,294.996,1.21,25544.273,"3,785.38"
37,07-2022,1649.989814766182,1550.7098468571364,1203.1451831884983,1148.0511376987909,1991.3016082449271,1769.3524600246346,1541.9067742134723,1851.74186593666,1123.2338130247829,1054.489256523552,1675.457044533184,1249.6177211703066,1784.9211406584536,1023.2156297212124,1484.5899751473864,2291.53670665036,1832.2506444796848,1104.1144267390323,1618.5979084984538,1505.7674604742076,1836.824454096856,1563.9051486102608,1699.8836203801052,1088.9923035065362,1038.294336911958,1573.6958022547562,1681.959405685084,993.7521709962728,1258.9893324539655,1268.2752833279817,1092.623625817051,1071.7632795822776,1357.2168759508047,1330.5241271111852,1019.0522414227815,1265.2470939757532,1189.8171238579423,1612.977245427244,1319.981345134147,1080.9656474395829,1416.0552351485749,1977.6320143387827,962.5761140769288,2000.206300961723,1924.85769988948,1537.3790906196346,1134.3086200604805,1144.6351262778594,1831.2769758863744,2738.7392543266087,3.5,294.977,1.68,25994.639,"4,130.29"
